PubDate,URL,Title,Publication,PositionIDList,ComparisonOrOpinion
2019-09-20,https://www.youtube.com/watch?v=r8jzzo3lufs,2019 Federal Election Debate: Kitchener-Conestoga,Rogers TV,KitchenerConestoga,Comparison
2019-09-26,https://www.youtube.com/watch?v=B_5hFOfg0QI,2019 Federal Election Debate: Waterloo,Rogers TV,Waterloo,Comparison
2019-09-27,https://youtu.be/cMcwrM-nZoc,2019 Federal Election Debate: Kitchener Centre,Rogers TV,KitchenerCentre,Comparison
2019-09-30,https://www.cbc.ca/news/canada/kitchener-waterloo/cambridge-federal-election-candidates-discuss-cost-of-living-opioid-crisis-1.5302513,"Cambridge federal election candidates discuss cost of living, opioid crisis",CBC KW,Cambridge,Comparison
2019-10-01,https://www.cbc.ca/news/canada/kitchener-waterloo/kitchener-centre-federal-election-panel-1.5304042,"Kitchener Centre candidates talk environment, abortion and cost of living",CBC KW,KitchenerCentre,Comparison
2019-10-02,https://www.cbc.ca/news/canada/kitchener-waterloo/kitchener-south-hespeler-federal-election-panel-1.5305587,"Kitchener South-Hespeler candidates talk guns, climate and cost of living",CBC KW,KitchenerSouthHespeler,Comparison
2019-10-03,https://www.cbc.ca/news/canada/kitchener-waterloo/kitchener-conestoga-federal-election-panel-1.5307392,"Kitchener-Conestoga candidates talk cost of living, climate change",CBC KW,KitchenerConestoga,Comparison
2019-10-02,https://youtu.be/k-HyufZustU,2019 Federal Election Debate: Cambridge,Rogers TV,Cambridge,Comparison
2019-10-02,https://youtu.be/0X522FGHWks,2019 Federal Election Debate: Kitchener South - Hespeler,Rogers TV,KitchenerSouthHespeler,Comparison
2019-10-01,https://www.cbc.ca/news/canada/kitchener-waterloo/kitchener-centre-candidates-municipal-funding-1.5304471,"As Kitchener mulls tax levy, federal candidates say they'd step up infrastructure funding",CBC KW,KitchenerCentre,Comparison
2019-10-04,https://www.cbc.ca/news/canada/kitchener-waterloo/waterloo-federal-election-candidate-panel-1.5308981,"Waterloo candidates talk climate change, how they'll help university and college grads",CBC KW,Waterloo,Comparison
2019-10-08,https://thefeministshift.ca/index.php/candidate-survey/,The Feminist Shift 2019 Federal Candidate Survey,The Feminist Shift,Alias-Everything,Comparison
2019-10-08,https://www.cbc.ca/news/canada/kitchener-waterloo/waterloo-region-federal-election-candidate-panels-1.5304067,Waterloo region's federal election candidates discuss the issues,CBC KW,Alias-Everything,Comparison
2019-10-09,https://yourwrrc.ca/rcc/2019-federal-candidate-survey/,Rainbow Community Council  2019 Federal Candidate Survey on 2LGBTQIA+ Issues,Rainbow Community Council,Alias-Everything,Comparison
2019-10-15,https://icreate7.esolutionsgroup.ca/11111082_ImmigrationWaterlooRegion/en/business-opportunities/resources/Events-and-Initiatives/Elections/2019_Federal_Election_Candidate_Survey_Results.pdf,Immigration Partnership Federal Election 2019 Candidate Survey,Immigration Partnership,Alias-Everything,Comparison
2019-10-15,https://www.fairvote.ca/federal-campaign/,Fair Vote Canada Candidate Endorsements,Fair Vote Canada,Alias-Everything,Comparison
2019-10-13,https://www.cbc.ca/news/canada/kitchener-waterloo/cambridge-candidates-federal-election-survey-1.5313623,"Cambridge candidates on cost of living, environment and what you need to know about them",CBC KW,Cambridge,Comparison
2019-10-15,https://www.570news.com/2019/10/15/cambridge-all-candidates-forum/,Cambridge All Candidates Forum,570 News,Cambridge,Comparison
2019-10-09,https://www.570news.com/2019/10/09/kitchener-conestoga-all-candidates-panel/,Kitchener-Conestoga All Candidates Forum,570 News,KitchenerConestoga,Comparison
2019-10-08,https://www.youtube.com/watch?v=NOtP4IMHuIw,KW Chamber of Commerce Debate - Kitchener Centre,KW Chamber of Commerce,KitchenerCentre,Comparison
2019-10-10,https://www.youtube.com/watch?v=pQkpNXDtr0o,KW Chamber of Commerce Debate - Waterloo,KW Chamber of Commerce,Waterloo,Comparison
2019-10-10,https://www.youtube.com/watch?v=FPnBVQnYZMY,KW Chamber of Commerce Debate - Kitchener South-Hespeler,KW Chamber of Commerce,KitchenerSouthHespeler,Comparison
2019-10-11,https://www.youtube.com/watch?v=vBlcbQyhqug,KW Chamber of Commerce Debate - Kitchener-Conestoga,KW Chamber of Commerce,KitchenerConestoga,Comparison
