Date_Filed,Nominated_Office,Municipality,Ward,Last_Name,Given_Names,Website,PositionUniqueName
5/1/2018,City Councillor,Waterloo,5,Vasic,Jen,https://jenvasicwaterloo.ca/,Waterloo-Ward-05
5/1/2018,Public School Trustee,Cambridge & North Dumfries,,Herring,Jayne,http://www.jayneherring.ca/,SchoolBoard-Public-English-Cambridge-NorthDumfries
5/1/2018,WRDSB Trustee,Woolwich,Woolwich-Wellesley,Meissner,Karen,https://www.karenmeissner.ca/,SchoolBoard-Public-English-Woolwich-Wellesley
5/1/2018,Mayor,Woolwich,,Shantz,Sandy,,Woolwich-Mayor
5/1/2018,Councillor,Waterloo,1,Hanmer,Sandra,,Waterloo-Ward-01
5/2/2018,Councillor,Wilmot,3,Mackenzie,Sharon Marie,,Wilmot-Ward-03
5/2/2018,Mayor,Waterloo,,Jaworsky,Dave,,Waterloo-Mayor
5/2/2018,Mayor,North Dumfries,,Foxton,Sue,,NorthDumfries-Mayor
5/2/2018,Regional Councillor,Waterloo,,Oberholtzer,Bob,,Regional-Waterloo
5/2/2018,Regional Councillor,Kitchener,,Clarke,Elizabeth,,Regional-Kitchener
5/3/2018,Regional Councillor,Cambridge,,Kiefer,Karl,,Regional-Cambridge
5/2/2018,Councillor,Woolwich,1,McMillan,Scott,,Woolwich-Ward-01
5/3/2018,Councillor,Woolwich,3,Martin,Murray,,Woolwich-Ward-03
5/2/2018,Councillor,Waterloo,7,McKenzie,Devon,,Waterloo-Ward-07
5/2/2018,Councillor,Kitchener,4,Michaud,Christine,,Kitchener-Ward-04
5/1/2018,Councillor,Kitchener,9,Chapman,Debbie,,Kitchener-Ward-09
5/3/2018,Councillor,Kitchener,9,Bowman,Melissa,,Kitchener-Ward-09
5/4/2018,Councillor,Kitchener,8,Johnston,Margaret,,Kitchener-Ward-08
5/7/2018,Councillor,Cambridge,4,Price,Gary,,Cambridge-Ward-04
5/7/2018,Mayor,Waterloo,,Steiss,Kelly,,Waterloo-Mayor
5/7/2018,Councillor,Woolwich,1,Merlihan,Patrick,,Woolwich-Ward-01
5/7/2018,Councillor,Waterloo,4,Freeman,"Diane, Lynn",,Waterloo-Ward-04
5/7/2018,Councillor,North Dumfries,3,McCreery,Margaret,,NorthDumfries-Ward-03
5/7/2018,Councillor,Woolwich,1,Herteis,Julie-Anne,,Woolwich-Ward-01
5/9/2018,Councillor,Woolwich,3,Shantz,Larry,,Woolwich-Ward-03
5/9/2108,Councillor,Waterloo,1,McCarthy,Adam,,Waterloo-Ward-01
5/9/2018,Regional Councillor,Waterloo,,Erb,Jim,,Regional-Waterloo
5/10/2018,Regional Chair,Chair,,dAilly,Jan,http://www.dailly.ca/,Regional-Chair
5/9/2018,Councillor,Wilmot,2,Gordijk,Cheryl Lynn,,Wilmot-Ward-02
5/11/2018,Regional Councillor,Waterloo,,Mitchell,Jane,,Regional-Waterloo
5/11/2018,Councillor,Waterloo,7,Said,Rami,,Waterloo-Ward-07
5/11/2018,Catholic School Board Trustee,Waterloo,,Conway,Bill,,SchoolBoard-Catholic-English-Waterloo-Wellesley-Woolwich
5/14/2018,Catholic School Board Trustee,Cambridge & North Dumfries,,Price,Wendy,,SchoolBoard-Catholic-English-Cambridge-NorthDumfries
5/14/2018,Catholic School Board Trustee,Cambridge,,da Silva,Manuel,,SchoolBoard-Catholic-English-Cambridge-NorthDumfries
5/15/2018,Regional Chair,Chair,,Redman,Karen,,Regional-Chair
5/11/2018,Mayor,Kitchener,,Vrbanovic,Berry,,Kitchener-Mayor
5/14/2018,Councillor,Kitchener,2,Arangath,Suresh,,Kitchener-Ward-02
5/16/2018,Councillor,North Dumfries,1,Rolleman,Rodney,,NorthDumfries-Ward-01
5/16/2018,Mayor,Wilmot,,Armstrong,Les,,Wilmot-Mayor
5/16/2018,Regional Councillor,Kitchener,,Williams,Kari,,Regional-Kitchener
5/16/2018,Mayor,Wellesley,,Nowak,Joe,,Wellesley-Mayor
